z_mean z_min z_max L_mean L_min L_max phi_mean phi_min phi_max Ngalaxy
3.950101714808711972e-01 3.300000000000000155e-01 4.500000000000000111e-01 1.588461102318934731e+40 1.100694171252203457e+40 2.154434690031895468e+40 2.533109266604015308e-03 2.151720368058472350e-03 2.914498165149558267e-03 1.400000000000000000e+02
3.950101714808711972e-01 3.300000000000000155e-01 4.500000000000000111e-01 3.048761955468993831e+40 2.154434690031895468e+40 4.216965034285822492e+40 2.498945403075284333e-03 2.130960411086073921e-03 2.866930395064494746e-03 1.460000000000000000e+02
3.950101714808711972e-01 3.300000000000000155e-01 4.500000000000000111e-01 5.813224329661160464e+40 4.216965034285822492e+40 8.254041852680139009e+40 1.418858467142276522e-03 1.181910479906839954e-03 1.655806454377713090e-03 8.500000000000000000e+01
3.950101714808711972e-01 3.300000000000000155e-01 4.500000000000000111e-01 1.096572000681297081e+41 8.254041852680139009e+40 1.615598098439882800e+41 8.683523780193768381e-04 7.285253869634748759e-04 1.008179369075278692e-03 5.300000000000000000e+01
3.950101714808711972e-01 3.300000000000000155e-01 4.500000000000000111e-01 2.029981928326680237e+41 1.615598098439882800e+41 3.162277660168379452e+41 1.668897106067042922e-04 1.345499628350219187e-04 1.992294583783866656e-04 1.000000000000000000e+01
3.950101714808711972e-01 3.300000000000000155e-01 4.500000000000000111e-01 3.959334164267297011e+41 3.162277660168379452e+41 6.189658188912571906e+41 4.844266833564885559e-05 3.712781221867648344e-05 5.975752445262122773e-05 3.000000000000000000e+00
5.147760880279570461e-01 4.500000000000000111e-01 5.999999999999999778e-01 5.881791344635404739e+40 4.216965034285822492e+40 8.254041852680139009e+40 2.143452871109789021e-03 1.879028313211150193e-03 2.407877429008427848e-03 2.390000000000000000e+02
5.147760880279570461e-01 4.500000000000000111e-01 5.999999999999999778e-01 1.108709038003665708e+41 8.254041852680139009e+40 1.615598098439882800e+41 1.211178729525390439e-03 1.059658631416105813e-03 1.362698827634675064e-03 1.410000000000000000e+02
5.147760880279570461e-01 4.500000000000000111e-01 5.999999999999999778e-01 2.061376127827084266e+41 1.615598098439882800e+41 3.162277660168379452e+41 4.908054399659527497e-04 4.189343603853493136e-04 5.626765195465561857e-04 5.700000000000000000e+01
5.147760880279570461e-01 4.500000000000000111e-01 5.999999999999999778e-01 4.202386669618319767e+41 3.162277660168379452e+41 6.189658188912571906e+41 1.131465491412787723e-04 9.367529637179890158e-05 1.326178019107586295e-04 1.400000000000000000e+01
5.147760880279570461e-01 4.500000000000000111e-01 5.999999999999999778e-01 7.196802065148435669e+41 6.189658188912571906e+41 1.211527658628595105e+42 2.558383243790989252e-05 1.935129369743505647e-05 3.181637117838472857e-05 3.000000000000000000e+00
6.536819711024186574e-01 5.999999999999999778e-01 6.999999999999999556e-01 6.111409500633922273e+40 4.216965034285822492e+40 8.254041852680139009e+40 2.663552563567774065e-03 2.302531426245054899e-03 3.024573700890493232e-03 2.290000000000000000e+02
6.536819711024186574e-01 5.999999999999999778e-01 6.999999999999999556e-01 1.130689019402232025e+41 8.254041852680139009e+40 1.615598098439882800e+41 1.862264146177800093e-03 1.595219417231354218e-03 2.129308875124245968e-03 1.710000000000000000e+02
6.536819711024186574e-01 5.999999999999999778e-01 6.999999999999999556e-01 2.224335053245487477e+41 1.615598098439882800e+41 3.162277660168379452e+41 9.026788708698298830e-04 7.516301930426113947e-04 1.053727548697048263e-03 8.700000000000000000e+01
6.536819711024186574e-01 5.999999999999999778e-01 6.999999999999999556e-01 4.409868827463128809e+41 3.162277660168379452e+41 6.189658188912571906e+41 2.215568085617423315e-04 1.862171121562452517e-04 2.568965049672394113e-04 2.200000000000000000e+01
