z_mean z_min z_max L_mean L_min L_max phi_mean phi_min phi_max Ngalaxy
1.199999999999999956e-01 0.000000000000000000e+00 2.000000000000000111e-01 5.806406710429440768e+40 4.612192792386625406e+40 7.309832958971823768e+40 9.351588102008102574e-03 5.065253334316770044e-03 1.363792286969943771e-02 -1.000000000000000000e+00
1.199999999999999956e-01 0.000000000000000000e+00 2.000000000000000111e-01 3.663594958984509901e+40 2.910096916514932858e+40 4.612192792386625406e+40 9.526981261119327887e-03 5.065253334316806473e-03 1.398870918792184843e-02 -1.000000000000000000e+00
1.199999999999999956e-01 0.000000000000000000e+00 2.000000000000000111e-01 2.311572146571911952e+40 1.836147022624278676e+40 2.910096916514980731e+40 1.763081716449737407e-02 1.141674622628755312e-02 2.384488810270719503e-02 -1.000000000000000000e+00
1.199999999999999956e-01 0.000000000000000000e+00 2.000000000000000111e-01 1.458503423175383906e+40 1.158530449470220658e+40 1.836147022624278676e+40 1.747867260031411157e-02 1.171040079619999584e-02 2.324694440442822557e-02 -1.000000000000000000e+00
2.600000000000000089e-01 2.000000000000000111e-01 3.250000000000000111e-01 1.457201050370267009e+41 1.157495937978979315e+41 1.834507432404287808e+41 9.108389063284075618e-03 7.286711250627260668e-03 1.366258359492611256e-02 -1.000000000000000000e+00
2.600000000000000089e-01 2.000000000000000111e-01 3.250000000000000111e-01 2.309508024779035593e+41 1.834507432404287808e+41 2.907498341136890758e+41 2.732516718985222859e-03 1.366258359492611429e-03 3.643355625313630334e-03 -1.000000000000000000e+00
3.800000000000000044e-01 3.250000000000000111e-01 4.500000000000000111e-01 1.456155273185664747e+41 1.156665247634019289e+41 1.833190876931517432e+41 7.302421972967630855e-03 5.933217853036200883e-03 9.128027466209538351e-03 -1.000000000000000000e+00
3.800000000000000044e-01 3.250000000000000111e-01 4.500000000000000111e-01 2.307850579638328032e+41 1.833190876931517432e+41 2.905411741330599586e+41 4.107612359794292518e-03 2.738408239862861679e-03 5.476816479725723358e-03 -1.000000000000000000e+00
3.800000000000000044e-01 3.250000000000000111e-01 4.500000000000000111e-01 3.657696672886185337e+41 2.905411741330551616e+41 4.604767290131411654e+41 2.464567415876575338e-03 6.389619226346677323e-04 1.825605493241907714e-03 -1.000000000000000000e+00
3.800000000000000044e-01 3.250000000000000111e-01 4.500000000000000111e-01 5.797058556945018079e+41 4.604767290131411654e+41 7.298064330996931408e+41 9.128027466209538568e-04 4.564013733104769284e-04 1.643044943917716964e-03 -1.000000000000000000e+00
4.899999999999999911e-01 4.500000000000000111e-01 5.600000000000000533e-01 1.455265868787068066e+41 1.155958768608125851e+41 1.832071183132762320e+41 6.401341680956313535e-03 5.029625606465673929e-03 7.773057755446952273e-03 -1.000000000000000000e+00
4.899999999999999911e-01 4.500000000000000111e-01 5.600000000000000533e-01 2.306440968661647202e+41 1.832071183132762320e+41 2.903637146251311969e+41 6.401341680956313535e-03 4.572386914968795506e-03 8.230296446943832431e-03 -1.000000000000000000e+00
4.899999999999999911e-01 4.500000000000000111e-01 5.600000000000000533e-01 3.655462590045225508e+41 2.903637146251264386e+41 4.601954746470873796e+41 1.828954765987518029e-03 9.144773829937590144e-04 2.743432148981277043e-03 -1.000000000000000000e+00
4.899999999999999911e-01 4.500000000000000111e-01 5.600000000000000533e-01 5.793517774258985674e+41 4.601954746470873796e+41 7.293606749695845359e+41 5.029625606465675013e-04 1.646059289388765998e-04 8.230296446943832431e-04 -1.000000000000000000e+00
4.899999999999999911e-01 4.500000000000000111e-01 5.600000000000000533e-01 9.182106880825588960e+41 7.293606749695845359e+41 1.155958768608144923e+42 8.230296446943832431e-04 3.200670840478156334e-04 1.371716074490638522e-03 -1.000000000000000000e+00
9.100000000000000311e-01 9.020000000000000240e-01 9.220000000000000417e-01 3.251759652914079132e+41 2.898133841245154837e+41 3.648534339524120299e+41 9.394703032843442284e-03 7.955377507008885851e-03 1.083402855867799698e-02 -1.000000000000000000e+00
9.100000000000000311e-01 9.020000000000000240e-01 9.220000000000000417e-01 4.093722860100528233e+41 3.648534339524179875e+41 4.593232595830578168e+41 3.131567677614480617e-03 2.234863276535443977e-03 4.028272078693517257e-03 -1.000000000000000000e+00
9.100000000000000311e-01 9.020000000000000240e-01 9.220000000000000417e-01 5.153691737423270362e+41 4.593232595830653218e+41 5.782537237172420860e+41 2.625734425723742077e-03 1.802605770374267726e-03 3.448863081073216211e-03 -1.000000000000000000e+00
9.100000000000000311e-01 9.020000000000000240e-01 9.220000000000000417e-01 6.488113492795703099e+41 5.782537237172420860e+41 7.279783072522300092e+41 1.554287628536996221e-03 9.104998534033291761e-04 2.198075403670663591e-03 -1.000000000000000000e+00
9.100000000000000311e-01 9.020000000000000240e-01 9.220000000000000417e-01 8.168050950685150941e+41 7.279783072522419244e+41 9.164703902347375219e+41 7.955377507008886285e-04 3.310908557830287815e-04 1.259984645618748367e-03 -1.000000000000000000e+00
3.499999999999999778e-01 3.349999999999999645e-01 3.649999999999999911e-01 1.283871760251910964e+40 1.144251910767948012e+40 1.440527807959782858e+40 7.765699366338689458e-03 4.617740275382360531e-03 1.091365845729501925e-02 -1.000000000000000000e+00
3.499999999999999778e-01 3.349999999999999645e-01 3.649999999999999911e-01 1.598673373039313186e+40 1.424819143490738854e+40 1.793741026951267531e+40 1.141609373507944218e-02 7.764445327146506960e-03 1.506774214301237827e-02 -1.000000000000000000e+00
3.499999999999999778e-01 3.349999999999999645e-01 3.649999999999999911e-01 2.049728074223081826e+40 1.826822069070412205e+40 2.299832725579111198e+40 1.075326661343820392e-02 7.227399004677989569e-03 1.427913422219841827e-02 -1.000000000000000000e+00
3.499999999999999778e-01 3.349999999999999645e-01 3.649999999999999911e-01 2.552315422522132973e+40 2.274753514736096296e+40 2.863745005269331625e+40 7.532596771610812481e-03 4.535732161591208081e-03 1.052946138163041688e-02 -1.000000000000000000e+00
3.499999999999999778e-01 3.349999999999999645e-01 3.649999999999999911e-01 3.224940054375085498e+40 2.874230848886910319e+40 3.618442255026404914e+40 6.213959590938513203e-03 3.466696992624365530e-03 8.961222189252661743e-03 -1.000000000000000000e+00
3.499999999999999778e-01 3.349999999999999645e-01 3.649999999999999911e-01 4.015685954153157707e+40 3.578983873889535107e+40 4.505673747241007293e+40 3.760969574130066696e-03 1.692902073890179384e-03 5.829037074369954226e-03 -1.000000000000000000e+00
3.499999999999999778e-01 3.349999999999999645e-01 3.649999999999999911e-01 5.073960046263696124e+40 4.522171651285699533e+40 5.693076808298683589e+40 6.937272453384353901e-03 4.073378757356392772e-03 9.801166149412314163e-03 -1.000000000000000000e+00
