logL;LFHa;LFO2;LFO3;LFHb;LFN2;LFS2;e_LFHa;e_LFO2;e_LFO3;e_LFHb;e_LFN2;e_LFS2
[10-7W];Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3
-----;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------
39.90; 9.80202e-04; 1.19023e-03; 7.93169e-04; 1.19700e-03; 3.99143e-04; 1.59238e-03; 2.10798e-04; 2.16350e-04; 2.93137e-04; 3.85239e-04; 2.95279e-04; 2.68827e-04
40.10; 4.84424e-04; 1.11198e-03; 1.11024e-03; 1.07861e-03; 1.21751e-03; 1.08809e-03; 2.15364e-04; 1.98318e-04; 1.57377e-04; 9.20861e-05; 3.86321e-04; 9.35246e-05
40.30; 1.07653e-03; 1.13174e-03; 7.73164e-04; 9.21939e-04; 1.09687e-03; 9.62874e-04; 3.74368e-04; 2.09802e-04; 5.50774e-05; 8.32235e-05; 9.97531e-05; 8.58838e-05
40.50; 1.14165e-03; 1.06974e-03; 5.93712e-04; 8.65287e-04; 9.87451e-04; 8.23307e-04; 1.60795e-04; 7.44031e-04; 4.80981e-05; 1.29990e-04; 9.95383e-05; 1.39038e-04
40.70; 1.04287e-03; 1.02527e-03; 4.69362e-04; 5.86113e-04; 8.00380e-04; 5.60594e-04; 1.03767e-04; 1.09517e-04; 4.45945e-05; 4.58322e-05; 1.27098e-04; 3.89987e-05
40.90; 7.90282e-04; 8.14804e-04; 2.50740e-04; 4.20298e-04; 6.27361e-04; 4.25741e-04; 5.77051e-05; 1.40691e-04; 2.17731e-05; 4.76055e-05; 5.39206e-05; 4.74904e-05
41.10; 7.21073e-04; 5.41428e-04; 1.91579e-04; 2.65944e-04; 3.89785e-04; 2.27114e-04; 1.29590e-04; 4.56886e-05; 1.30008e-05; 2.00005e-05; 3.08212e-05; 1.25856e-05
41.30; 4.72470e-04; 4.69341e-04; 9.73628e-05; 1.60872e-04; 3.08219e-04; 1.57926e-04; 3.95613e-05; 3.98195e-05; 4.51875e-06; 1.14796e-05; 3.09602e-05; 1.25576e-05
41.50; 3.18230e-04; 3.42826e-04; 5.73930e-05; 1.02263e-04; 1.58355e-04; 8.84508e-05; 4.05324e-05; 3.40160e-05; 2.95303e-06; 6.85523e-06; 1.44776e-05; 4.21965e-06
41.70; 1.91725e-04; 1.98306e-04; 3.37948e-05; 5.77376e-05; 1.00674e-04; 5.06485e-05; 1.36876e-05; 1.54784e-05; 2.31743e-06; 3.19191e-06; 6.11579e-06; 3.10650e-06
41.90; 1.11950e-04; 1.32124e-04; 2.01842e-05; 2.85750e-05; 5.79441e-05; 2.29016e-05; 6.19365e-06; 1.14265e-05; 2.72638e-06; 2.64884e-06; 2.95846e-06; 1.47391e-06
42.10; 6.77214e-05; 9.53283e-05; 8.38521e-06; 1.35723e-05; 3.08009e-05; 1.08458e-05; 4.49527e-06; 1.94995e-05; 9.00389e-07; 8.87576e-07; 2.72712e-06; 6.96458e-07
42.30; 3.64863e-05; 4.21826e-05; 3.80590e-06; 7.18619e-06; 1.41390e-05; 6.04628e-06; 2.85869e-06; 3.02781e-06; 3.55397e-07; 8.31461e-07; 9.56172e-07; 8.63610e-07
42.50; 1.61422e-05; 2.32479e-05; 1.22687e-06; 2.61514e-06; 6.70270e-06; 1.76935e-06; 1.17670e-06; 1.88112e-06; 2.21183e-07; 3.22418e-07; 5.83228e-07; 1.85381e-07
42.70; 7.93253e-06; 1.25686e-05; 9.68427e-07; 9.70275e-07; 3.38682e-06; 8.54740e-07; 5.47684e-07; 2.01701e-06; 2.09335e-07; 1.35888e-07; 6.70440e-07; 1.94567e-07
42.90; 4.70621e-06; 5.86447e-06; 3.51288e-07; 6.67729e-07; 1.24807e-06; 3.32465e-07; 8.08042e-07; 8.09505e-07; 1.37358e-07; 2.14089e-07; 2.14695e-07; 8.30538e-08
43.10; 1.29944e-06; 4.21672e-06; 8.29084e-08; 1.41975e-07; 5.92251e-07; 6.30295e-08; 1.56609e-07; 2.02577e-06; 4.72313e-08; 5.07190e-08; 1.39472e-07; 3.18943e-08
43.30; 7.00161e-07; 8.69451e-07; 5.24437e-08; 2.25673e-08; 1.23998e-07; 8.40754e-09; 1.92453e-07; 2.00377e-07; 2.74925e-08; 1.59931e-08; 4.26588e-08; 8.23939e-09
