logL;LFHa;LFO2;LFO3;LFHb;LFN2;LFS2;e_LFHa;e_LFO2;e_LFO3;e_LFHb;e_LFN2;e_LFS2
[10-7W];Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3
-----;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------
39.90; 1.07518e-03; 1.34860e-03; 6.15581e-04; 8.84823e-04; 1.16932e-03; 3.77607e-04; 1.47268e-04; 6.60673e-05; 1.14126e-04; 1.40760e-04; 1.04159e-04; 1.10089e-03
40.10; 1.46688e-03; 8.34871e-04; 4.25149e-04; 6.08790e-04; 1.01520e-03; 2.99815e-04; 1.04187e-04; 4.42014e-05; 6.36922e-05; 1.13491e-04; 1.06860e-04; 8.23399e-04
40.30; 1.08381e-03; 6.13048e-04; 3.02354e-04; 4.27343e-04; 1.00120e-03; 1.18196e-04; 6.55931e-05; 2.69664e-05; 4.55871e-05; 1.18664e-04; 5.71059e-05; 5.77333e-04
40.50; 1.01052e-03; 4.31002e-04; 2.12010e-04; 2.83459e-04; 5.88093e-04; 1.22179e-04; 4.49859e-05; 2.21678e-05; 3.14571e-05; 6.29841e-05; 4.68405e-05; 4.11335e-04
40.70; 6.37742e-04; 3.11887e-04; 9.93558e-05; 1.80426e-04; 4.39578e-04; 6.85475e-05; 2.80911e-05; 9.33037e-06; 2.07097e-05; 4.88196e-05; 2.44716e-05; 2.70966e-04
40.90; 4.64537e-04; 1.88174e-04; 5.71487e-05; 8.55996e-05; 2.63642e-04; 4.68212e-05; 1.83516e-05; 5.53007e-06; 7.65577e-06; 2.43703e-05; 1.66640e-05; 1.58622e-04
41.10; 3.06039e-04; 1.26453e-04; 2.97657e-05; 4.76494e-05; 1.58530e-04; 3.27945e-05; 1.12929e-05; 2.84966e-06; 4.56546e-06; 1.66742e-05; 7.73239e-06; 8.73105e-05
41.30; 1.71054e-04; 5.17964e-05; 1.71573e-05; 2.36945e-05; 9.01167e-05; 1.54770e-05; 4.87904e-06; 2.09142e-06; 2.21258e-06; 8.16771e-06; 3.93597e-06; 4.36426e-05
41.50; 1.13457e-04; 2.59240e-05; 8.77241e-06; 1.14415e-05; 4.70955e-05; 1.39130e-05; 2.59488e-06; 1.28764e-06; 1.43554e-06; 4.09857e-06; 1.83413e-06; 2.06419e-05
41.70; 5.43090e-05; 1.20613e-05; 3.31015e-06; 4.89362e-06; 2.36029e-05; 4.95561e-06; 1.34371e-06; 4.45430e-07; 9.67689e-07; 2.09594e-06; 1.47575e-06; 1.12327e-05
41.90; 2.97741e-05; 5.60316e-06; 1.97198e-06; 2.22021e-06; 1.10837e-05; 2.64636e-06; 9.94671e-07; 3.58138e-07; 3.25587e-07; 1.32765e-06; 4.35792e-07; 3.42082e-06
42.10; 1.36104e-05; 2.20983e-06; 1.04907e-06; 9.85681e-07; 5.06671e-06; 1.60342e-06; 3.55681e-07; 2.27515e-07; 3.44960e-07; 8.09750e-07; 3.81889e-07; 1.72027e-06
42.30; 6.07127e-06; 8.12412e-07; 2.27302e-07; 1.78303e-07; 2.42534e-06; 8.89891e-07; 1.84065e-07; 7.22770e-08; 7.26097e-08; 3.71276e-07; 1.76142e-07; 5.82866e-07
42.50; 2.86443e-06; 3.14737e-07; 1.45321e-07; 6.82517e-08; 6.09382e-07; 3.69820e-07; 1.26507e-07; 4.67299e-08; 4.12232e-08; 1.78277e-07; 6.19420e-08; 1.47774e-07
42.70; 1.15183e-06; 1.67102e-07; 7.43126e-08; 6.25309e-08; 1.94875e-07; 3.30817e-07; 4.37189e-08; 5.18298e-08; 3.88772e-08; 6.18531e-08; 3.14752e-08; 3.09012e-08
42.90; 3.42897e-07; 5.17134e-08; 6.01210e-08; 0.00000e+00; 1.37785e-07; 1.41019e-07; 4.30131e-08; 3.65246e-08; 0.00000e+00; 4.17250e-08; 8.36562e-09; 1.87488e-08
