logL;LFHa;LFO2;LFO3;LFHb;LFN2;LFS2;e_LFHa;e_LFO2;e_LFO3;e_LFHb;e_LFN2;e_LFS2
[10-7W];Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3
-----;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------
39.90; 5.95878e-03; 5.58729e-03; 4.79452e-03; 5.66658e-03; 5.22430e-03; 6.49750e-03; 1.41491e-03; 7.60495e-04; 4.24006e-04; 6.67883e-04; 8.10888e-04; 6.38334e-04
40.10; 4.53769e-03; 7.09555e-03; 5.00857e-03; 5.30206e-03; 6.27136e-03; 5.28761e-03; 9.82870e-04; 1.49879e-03; 4.30760e-04; 4.00743e-04; 7.61184e-04; 1.04786e-03
40.30; 5.02262e-03; 5.44268e-03; 3.80504e-03; 4.49409e-03; 4.78281e-03; 5.03494e-03; 5.70234e-04; 4.78205e-04; 3.45682e-04; 9.38938e-04; 1.00973e-03; 3.52302e-04
40.50; 5.82650e-03; 3.28740e-03; 2.82335e-03; 4.14399e-03; 4.62367e-03; 4.15095e-03; 5.45215e-04; 1.31698e-03; 1.69997e-04; 2.59910e-04; 3.01874e-04; 2.58867e-04
40.70; 4.44555e-03; 4.76448e-03; 2.16739e-03; 3.08875e-03; 3.40928e-03; 2.99749e-03; 9.69853e-04; 3.04995e-04; 1.35270e-04; 1.60048e-04; 2.08141e-04; 1.82318e-04
40.90; 4.37902e-03; 4.14564e-03; 1.40061e-03; 2.32513e-03; 2.70748e-03; 2.02648e-03; 2.89060e-04; 2.94757e-04; 7.83359e-05; 1.61533e-04; 1.74408e-04; 8.98464e-05
41.10; 3.51480e-03; 3.29174e-03; 1.00040e-03; 1.46001e-03; 1.70802e-03; 1.32789e-03; 2.20130e-04; 2.28250e-04; 5.11085e-05; 5.58099e-05; 7.24144e-05; 5.62867e-05
41.30; 2.52497e-03; 2.28684e-03; 6.16643e-04; 9.11339e-04; 1.13841e-03; 8.11163e-04; 1.62248e-04; 1.17989e-04; 2.05631e-05; 4.24610e-05; 6.45156e-05; 2.89996e-05
41.50; 1.63455e-03; 1.58728e-03; 4.01535e-04; 5.53006e-04; 6.48203e-04; 4.69265e-04; 7.33414e-05; 7.25361e-05; 1.91473e-05; 2.02362e-05; 2.50123e-05; 1.87754e-05
41.70; 1.06452e-03; 9.88515e-04; 2.52043e-04; 3.16201e-04; 3.95206e-04; 2.51568e-04; 5.17470e-05; 3.44757e-05; 2.02466e-05; 1.40402e-05; 1.85165e-05; 7.23052e-06
41.90; 6.39347e-04; 6.78786e-04; 1.43018e-04; 1.50383e-04; 2.10170e-04; 1.19890e-04; 2.14794e-05; 4.07323e-05; 7.36588e-06; 5.24067e-06; 6.94701e-06; 4.57114e-06
42.10; 3.62947e-04; 3.91156e-04; 8.03624e-05; 7.12868e-05; 1.02830e-04; 5.31600e-05; 1.36763e-05; 2.21042e-05; 3.90397e-06; 2.24946e-06; 4.26126e-06; 2.15773e-06
42.30; 1.99032e-04; 2.10456e-04; 4.59309e-05; 3.53222e-05; 4.73502e-05; 2.28140e-05; 1.11147e-05; 1.12254e-05; 3.10256e-06; 3.03980e-06; 2.13296e-06; 1.08712e-06
42.50; 8.57585e-05; 1.11100e-04; 2.84127e-05; 1.25084e-05; 2.06571e-05; 7.25670e-06; 2.69201e-06; 5.57339e-06; 3.18659e-06; 5.69599e-07; 8.48453e-07; 4.64614e-07
42.70; 4.24830e-05; 4.78290e-05; 1.40500e-05; 4.70709e-06; 9.67876e-06; 4.94216e-06; 3.04693e-06; 2.76537e-06; 1.33863e-06; 5.89337e-07; 7.88774e-07; 2.03559e-06
42.90; 1.76462e-05; 2.45038e-05; 6.15957e-06; 3.59086e-06; 2.98315e-06; 9.71050e-07; 1.03339e-06; 1.64471e-06; 5.59163e-07; 2.02951e-06; 3.51137e-07; 1.35376e-07
43.10; 5.99518e-06; 1.15189e-05; 3.27725e-06; 6.54570e-07; 1.44843e-06; 3.87096e-07; 4.61512e-07; 2.06827e-06; 3.91976e-07; 1.10794e-07; 2.01246e-07; 1.03578e-07
43.30; 2.44408e-06; 7.91840e-06; 8.44197e-07; 1.21268e-07; 2.75313e-06; 9.63266e-08; 3.45293e-07; 2.73687e-06; 1.46489e-07; 4.77646e-08; 2.01667e-06; 3.51446e-08
43.50; 2.46405e-06; 1.28225e-06; 3.58644e-07; 1.32999e-08; 7.02958e-08; 8.33967e-09; 2.01752e-06; 2.56583e-07; 9.35422e-08; 1.30339e-08; 2.99389e-08; 8.17287e-09
