logL;LFHa;LFO2;LFO3;LFHb;LFN2;LFS2;e_LFHa;e_LFO2;e_LFO3;e_LFHb;e_LFN2;e_LFS2
[10-7W];Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3
-----;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------
39.90; 6.60290e-03; 5.16502e-03; 3.51766e-03; 4.36444e-03; 5.43668e-03; 5.07766e-03; 1.08955e-03; 1.01090e-03; 3.70200e-04; 1.02602e-03; 1.11378e-03; 1.11238e-03
40.10; 5.84348e-03; 4.85725e-03; 2.52701e-03; 3.91783e-03; 5.40708e-03; 4.97258e-03; 6.63247e-04; 4.43447e-04; 2.34791e-04; 3.46974e-04; 5.23871e-04; 4.57925e-04
40.30; 5.20000e-03; 3.80867e-03; 1.88979e-03; 2.73608e-03; 4.28843e-03; 3.44692e-03; 4.93496e-04; 3.60164e-04; 1.67599e-04; 2.45870e-04; 3.97355e-04; 3.06844e-04
40.50; 4.45668e-03; 2.94205e-03; 1.49913e-03; 1.96064e-03; 2.93943e-03; 2.47566e-03; 1.00234e-03; 2.80962e-04; 1.42967e-04; 1.75991e-04; 2.58846e-04; 2.21853e-04
40.70; 3.95703e-03; 2.11337e-03; 8.38152e-04; 1.27598e-03; 2.10859e-03; 1.71572e-03; 3.62884e-04; 1.86916e-04; 7.54384e-05; 1.13300e-04; 1.93442e-04; 1.53467e-04
40.90; 2.77293e-03; 1.51002e-03; 6.24226e-04; 7.91748e-04; 1.27613e-03; 1.05834e-03; 2.46037e-04; 1.34247e-04; 5.90092e-05; 6.98639e-05; 1.11436e-04; 9.19718e-05
41.10; 1.92695e-03; 1.03858e-03; 3.64018e-04; 4.55906e-04; 7.88395e-04; 6.22857e-04; 1.69181e-04; 9.14446e-05; 3.56147e-05; 3.98018e-05; 6.81594e-05; 5.27566e-05
41.30; 1.26254e-03; 6.22983e-04; 2.41655e-04; 2.57830e-04; 4.39762e-04; 3.48560e-04; 1.14407e-04; 5.76098e-05; 2.38475e-05; 2.22326e-05; 3.72237e-05; 2.96720e-05
41.50; 8.03336e-04; 3.49054e-04; 1.59379e-04; 1.28137e-04; 2.37669e-04; 1.74306e-04; 7.19680e-05; 3.05746e-05; 1.62236e-05; 1.14436e-05; 2.02449e-05; 1.48260e-05
41.70; 4.46514e-04; 1.98259e-04; 9.54458e-05; 6.00815e-05; 1.16008e-04; 7.69294e-05; 3.78766e-05; 2.02123e-05; 1.20162e-05; 5.61096e-06; 1.00902e-05; 6.61895e-06
41.90; 2.52059e-04; 1.05814e-04; 5.00457e-05; 2.40057e-05; 4.76058e-05; 3.08783e-05; 2.13487e-05; 9.79845e-06; 4.98522e-06; 2.28984e-06; 4.24070e-06; 2.71480e-06
42.10; 1.25959e-04; 5.38751e-05; 3.13158e-05; 1.01564e-05; 2.13975e-05; 1.06127e-05; 1.10258e-05; 1.00046e-05; 3.25887e-06; 1.13545e-06; 2.06345e-06; 1.14831e-06
42.30; 5.43155e-05; 2.43098e-05; 1.85096e-05; 3.65445e-06; 7.76280e-06; 3.51019e-06; 4.90152e-06; 2.99516e-06; 1.82278e-06; 4.55369e-07; 8.19005e-07; 3.95019e-07
42.50; 2.25866e-05; 1.20407e-05; 8.42487e-06; 1.05812e-06; 2.29963e-06; 1.05248e-06; 2.01953e-06; 1.74791e-06; 1.15130e-06; 2.22666e-07; 3.65793e-07; 1.29124e-07
42.70; 9.17229e-06; 6.20565e-06; 3.91427e-06; 4.92548e-07; 8.91999e-07; 3.01972e-07; 1.01950e-06; 2.41804e-06; 4.32820e-07; 9.87370e-08; 1.29475e-07; 7.40013e-08
42.90; 2.94608e-06; 1.66986e-06; 1.93851e-06; 1.17576e-07; 3.25654e-07; 1.45523e-07; 3.63813e-07; 3.27556e-07; 3.26090e-07; 3.98404e-08; 6.28100e-08; 3.39689e-08
43.10; 1.02779e-06; 1.21784e-06; 8.97983e-07; 1.75286e-08; 7.57641e-08; 9.12270e-09; 1.29560e-07; 7.16978e-07; 1.65148e-07; 1.36610e-08; 2.15901e-08; 8.94024e-09
