logL;LFHa;LFO2;LFO3;LFHb;LFN2;LFS2;e_LFHa;e_LFO2;e_LFO3;e_LFHb;e_LFN2;e_LFS2
[10-7W];Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3
-----;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------
39.90; 7.96111e-04; 5.77425e-04; 4.82045e-04; 3.84425e-04; 8.77708e-04; 7.00656e-04; 1.28530e-04; 8.38161e-05; 4.97227e-05; 5.07870e-05; 1.25662e-04; 1.17783e-04
40.10; 4.73102e-04; 7.33454e-04; 3.94862e-04; 2.73674e-04; 5.15717e-04; 4.24649e-04; 4.69803e-05; 1.20314e-04; 4.92093e-05; 2.36240e-05; 5.39735e-05; 4.69888e-05
40.30; 4.11872e-04; 5.31653e-04; 2.92758e-04; 1.90152e-04; 4.48816e-04; 3.31490e-04; 5.32613e-05; 1.06105e-04; 2.37143e-05; 1.62430e-05; 5.33862e-05; 2.99747e-05
40.50; 2.75972e-04; 3.77787e-04; 1.98538e-04; 1.06673e-04; 2.92854e-04; 2.56219e-04; 2.42926e-05; 3.83803e-05; 1.79985e-05; 7.88073e-06; 2.44733e-05; 2.47110e-05
40.70; 2.07883e-04; 2.97017e-04; 1.46673e-04; 7.35396e-05; 2.24640e-04; 1.61772e-04; 2.10514e-05; 2.98107e-05; 2.07479e-05; 6.21902e-06; 1.96596e-05; 1.56729e-05
40.90; 1.14098e-04; 2.24297e-04; 9.62750e-05; 4.38301e-05; 1.30484e-04; 9.39434e-05; 8.11050e-06; 3.66949e-05; 1.13822e-05; 6.88515e-06; 1.16913e-05; 7.13610e-06
41.10; 8.13056e-05; 2.07650e-04; 4.80523e-05; 1.76592e-05; 8.72398e-05; 7.29798e-05; 6.47976e-06; 4.46553e-05; 4.63442e-06; 1.25013e-06; 7.76852e-06; 9.01322e-06
41.30; 4.03824e-05; 1.34217e-04; 3.14257e-05; 7.98154e-06; 6.06938e-05; 3.06429e-05; 2.90185e-06; 1.87629e-05; 6.69477e-06; 5.88902e-07; 7.93886e-06; 1.82610e-06
41.50; 2.69845e-05; 7.21895e-05; 1.24204e-05; 3.19208e-06; 2.88524e-05; 1.55805e-05; 6.07043e-06; 9.09487e-06; 1.14372e-06; 2.51889e-07; 2.55435e-06; 1.04705e-06
41.70; 9.88754e-06; 4.53447e-05; 4.97210e-06; 1.95343e-06; 1.25814e-05; 7.33849e-06; 7.90901e-07; 4.80692e-06; 3.89803e-07; 6.81909e-07; 1.02839e-06; 5.54330e-07
41.90; 4.45007e-06; 3.02704e-05; 2.81610e-06; 4.63912e-07; 6.54943e-06; 3.14367e-06; 3.70409e-07; 3.70227e-06; 4.01858e-07; 9.38298e-08; 5.50818e-07; 2.68261e-07
42.10; 2.45162e-06; 2.05469e-05; 1.42423e-06; 1.45575e-07; 3.13801e-06; 1.85157e-06; 6.61789e-07; 3.68642e-06; 6.45962e-07; 5.57547e-08; 6.58631e-07; 7.25344e-07
42.30; 5.63897e-07; 8.29756e-06; 3.43732e-07; 3.68027e-08; 1.16812e-06; 4.81782e-07; 9.82992e-08; 1.40262e-06; 8.20587e-08; 2.95645e-08; 1.35984e-07; 1.02169e-07
42.50; 2.15789e-07; 3.95823e-06; 9.60309e-08; 1.15397e-08; 3.04388e-07; 4.63252e-08; 6.34684e-08; 5.31341e-07; 4.22496e-08; 1.13089e-08; 8.01176e-08; 1.99006e-08
42.70; 5.61916e-08; 1.51014e-06; 1.91475e-08; 8.47100e-09; 9.89716e-08; 7.15612e-08; 3.20902e-08; 1.98477e-07; 1.34250e-08; 8.30158e-09; 4.32407e-08; 3.49244e-08
