logL;LFHa;LFO2;LFO3;LFHb;LFN2;LFS2;e_LFHa;e_LFO2;e_LFO3;e_LFHb;e_LFN2;e_LFS2
[10-7W];Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3
-----;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------
39.90; 7.35737e-04; 6.90294e-04; 4.25458e-04; 2.57006e-04; 7.22259e-04; 6.41675e-04; 7.42211e-05; 9.99546e-05; 4.17547e-05; 2.45871e-05; 8.31180e-05; 6.47671e-05
40.10; 4.18850e-04; 6.44225e-04; 2.51694e-04; 1.72833e-04; 4.94949e-04; 3.95217e-04; 4.52363e-05; 6.43226e-05; 2.41852e-05; 1.68871e-05; 6.19685e-05; 3.72426e-05
40.30; 2.97560e-04; 4.12103e-04; 2.03772e-04; 1.02689e-04; 3.73151e-04; 2.75383e-04; 2.74603e-05; 7.01523e-05; 2.00055e-05; 8.65986e-06; 3.41714e-05; 2.67804e-05
40.50; 2.12267e-04; 2.56827e-04; 1.34796e-04; 5.97788e-05; 2.34596e-04; 1.85395e-04; 2.12091e-05; 2.62141e-05; 1.27359e-05; 4.32510e-06; 2.13088e-05; 1.60669e-05
40.70; 1.32346e-04; 1.59276e-04; 6.46404e-05; 2.65638e-05; 1.53876e-04; 1.08825e-04; 1.21721e-05; 1.46917e-05; 4.89893e-06; 2.19890e-06; 1.55643e-05; 1.17326e-05
40.90; 8.25953e-05; 1.13320e-04; 3.11840e-05; 1.10312e-05; 9.62554e-05; 6.49904e-05; 8.71708e-06; 1.02261e-05; 2.87239e-06; 8.85707e-07; 8.94433e-06; 5.97315e-06
41.10; 4.48391e-05; 6.31418e-05; 1.67822e-05; 5.66543e-06; 5.21872e-05; 3.59728e-05; 3.18921e-06; 4.97025e-06; 1.11790e-06; 3.69770e-07; 3.90377e-06; 2.60408e-06
41.30; 2.13837e-05; 3.82082e-05; 8.33635e-06; 1.60700e-06; 2.85168e-05; 1.89414e-05; 1.59981e-06; 2.77233e-06; 6.91464e-07; 1.43633e-07; 2.39215e-06; 1.52276e-06
41.50; 9.34921e-06; 1.66027e-05; 2.93020e-06; 4.19935e-07; 1.36586e-05; 7.71272e-06; 5.61788e-07; 1.53322e-06; 2.14018e-07; 6.87341e-08; 1.07594e-06; 6.25085e-07
41.70; 4.59486e-06; 6.52041e-06; 9.88043e-07; 1.21218e-07; 5.70624e-06; 2.97629e-06; 2.61146e-07; 6.87388e-07; 8.37103e-08; 2.60299e-08; 3.86915e-07; 1.82243e-07
41.90; 1.47692e-06; 3.22238e-06; 4.00078e-07; 1.45706e-07; 2.33505e-06; 1.72400e-06; 9.30204e-08; 3.58343e-07; 4.64245e-08; 1.48034e-08; 1.46648e-07; 8.39582e-08
42.10; 5.21194e-07; 7.84495e-07; 1.29876e-07; 2.42171e-08; 1.25160e-06; 4.03043e-07; 6.07159e-08; 1.16659e-07; 2.11726e-08; 8.30158e-09; 9.01085e-08; 5.79544e-08
42.30; 1.29299e-07; 4.24352e-07; 7.07134e-08; 8.47100e-09; 2.47207e-07; 9.84108e-08; 2.74619e-08; 6.68164e-08; 1.50720e-08; 0.00000e+00; 2.27936e-08; 1.78561e-08
