logL;LFHa;LFO2;LFO3;LFHb;LFN2;LFS2;e_LFHa;e_LFO2;e_LFO3;e_LFHb;e_LFN2;e_LFS2
[10-7W];Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3
-----;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------
39.90; 7.45307e-05; 4.05719e-05; 4.57443e-05; 1.15695e-04; 8.29855e-05; 1.03540e-04; 2.88142e-05; 1.73414e-05; 1.85902e-05; 2.14679e-05; 2.12830e-05; 3.33870e-05
40.10; 7.08764e-05; 7.75817e-05; 2.51628e-05; 1.50861e-04; 7.76317e-05; 1.69278e-04; 1.93123e-05; 1.91796e-05; 7.76343e-06; 5.57289e-05; 3.31660e-05; 3.76547e-05
40.30; 8.51325e-05; 1.79269e-04; 1.08752e-04; 9.87648e-05; 1.22283e-04; 9.40131e-05; 2.09680e-05; 2.88289e-05; 2.67287e-05; 2.24158e-05; 3.44608e-05; 3.62707e-05
40.50; 1.82673e-04; 8.07094e-05; 9.39688e-05; 1.04021e-04; 1.44922e-04; 1.15236e-04; 3.48382e-05; 4.51206e-05; 3.80278e-05; 1.43532e-05; 3.64344e-05; 2.16931e-05
40.70; 1.01472e-04; 8.63149e-05; 1.38157e-04; 1.05850e-04; 1.26784e-04; 1.16190e-04; 4.73613e-05; 1.28340e-05; 2.46178e-05; 1.87312e-05; 2.31359e-05; 1.73379e-05
40.90; 8.69804e-05; 9.49212e-05; 1.11196e-04; 6.86850e-05; 8.81650e-05; 8.32288e-05; 1.60311e-05; 2.61662e-05; 1.94827e-05; 1.04183e-05; 1.80151e-05; 1.26331e-05
41.10; 1.23798e-04; 1.08701e-04; 1.02166e-04; 5.32033e-05; 1.02100e-04; 5.45038e-05; 1.73505e-05; 1.87209e-05; 4.82715e-05; 4.33615e-06; 1.26825e-05; 7.19053e-06
41.30; 7.61026e-05; 9.65930e-05; 9.69230e-05; 2.98033e-05; 5.73950e-05; 4.32299e-05; 1.23922e-05; 1.21077e-05; 1.28392e-05; 3.05011e-06; 8.67275e-06; 4.08268e-06
41.50; 5.01908e-05; 6.00136e-05; 8.06416e-05; 2.39679e-05; 4.45921e-05; 3.12140e-05; 5.48423e-06; 9.76860e-06; 1.58308e-05; 2.93291e-06; 4.61671e-06; 3.48564e-06
41.70; 3.72569e-05; 4.24970e-05; 5.80272e-05; 1.67106e-05; 3.62708e-05; 1.85231e-05; 3.48576e-06; 5.17242e-06; 5.05308e-06; 1.56322e-06; 3.58578e-06; 2.57258e-06
41.90; 2.63996e-05; 2.84250e-05; 4.07665e-05; 6.77525e-06; 2.33218e-05; 1.22984e-05; 3.13472e-06; 4.21812e-06; 7.38831e-06; 2.57735e-06; 3.32375e-06; 2.22248e-06
42.10; 1.66784e-05; 2.43787e-05; 2.67461e-05; 3.30598e-06; 1.47062e-05; 4.69851e-06; 1.90403e-06; 3.06342e-06; 3.13723e-06; 6.79386e-07; 2.26793e-06; 1.09664e-06
42.30; 1.08018e-05; 1.81859e-05; 1.59619e-05; 1.47043e-06; 5.92019e-06; 2.60613e-06; 2.46460e-06; 1.99470e-06; 2.04212e-06; 2.41806e-07; 1.23817e-06; 4.07589e-07
42.50; 3.89373e-06; 1.20736e-05; 1.21672e-05; 6.44553e-07; 3.18615e-06; 8.37190e-07; 9.92129e-07; 1.79000e-06; 2.23822e-06; 2.35172e-07; 6.84528e-07; 2.20378e-07
42.70; 2.08199e-06; 5.29870e-06; 6.09903e-06; 2.28404e-07; 1.79717e-06; 2.41847e-06; 3.03241e-07; 3.10209e-06; 9.89107e-07; 8.82769e-08; 2.89564e-07; 1.58572e-07
42.90; 6.13093e-07; 2.47374e-06; 2.75934e-06; 2.14940e-06; 4.71100e-07; 1.02899e-07; 2.21628e-07; 9.30348e-07; 9.30146e-07; 6.53147e-08; 2.12998e-07; 7.81227e-08
43.10; 2.83951e-07; 1.40596e-06; 1.64764e-06; 3.92618e-08; 3.55427e-07; 5.65209e-08; 1.13944e-07; 1.14898e-06; 2.98168e-07; 1.82441e-08; 1.02835e-07; 3.22932e-08
