logL;LFHa;LFO2;LFO3;LFHb;LFN2;LFS2;e_LFHa;e_LFO2;e_LFO3;e_LFHb;e_LFN2;e_LFS2
[10-7W];Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3
-----;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------
39.90; 1.03510e-04; 9.65289e-05; 1.10560e-04; 1.09698e-04; 1.33267e-04; 1.20802e-04; 2.55226e-05; 1.74220e-05; 3.53402e-05; 1.66619e-05; 3.94502e-05; 3.31257e-05
40.10; 1.42596e-04; 1.26464e-04; 8.46406e-05; 8.84972e-05; 1.14866e-04; 1.53696e-04; 3.87951e-05; 2.50342e-05; 1.68559e-05; 1.66855e-05; 2.13150e-05; 2.85972e-05
40.30; 1.57826e-04; 1.01587e-04; 9.89949e-05; 9.09854e-05; 1.51322e-04; 8.69080e-05; 5.04327e-05; 2.04736e-05; 1.32290e-05; 1.11233e-05; 4.78373e-05; 1.12788e-05
40.50; 1.09851e-04; 8.92610e-05; 1.51502e-04; 5.11134e-05; 1.05510e-04; 1.06343e-04; 1.48740e-05; 1.25652e-05; 4.12363e-05; 6.35210e-06; 1.42685e-05; 1.56658e-05
40.70; 9.76295e-05; 7.18102e-05; 1.05402e-04; 3.56780e-05; 1.02478e-04; 6.32130e-05; 1.95995e-05; 1.34846e-05; 1.98533e-05; 4.10535e-06; 1.59467e-05; 8.18569e-06
40.90; 9.20685e-05; 5.60329e-05; 8.18151e-05; 2.12319e-05; 6.45807e-05; 4.05964e-05; 1.05515e-05; 5.38317e-06; 1.13155e-05; 2.65725e-06; 7.76449e-06; 4.59337e-06
41.10; 5.56018e-05; 3.70536e-05; 5.32767e-05; 1.54955e-05; 5.01214e-05; 2.97198e-05; 6.64281e-06; 5.26701e-06; 6.00834e-06; 1.75527e-06; 5.29415e-06; 3.56230e-06
41.30; 3.73855e-05; 2.34266e-05; 4.92134e-05; 7.91984e-06; 2.70250e-05; 2.29174e-05; 4.18562e-06; 2.92330e-06; 6.19453e-06; 1.13870e-06; 2.77942e-06; 3.24783e-06
41.50; 2.52156e-05; 1.45343e-05; 3.55971e-05; 5.50101e-06; 2.48394e-05; 1.32018e-05; 2.49280e-06; 1.80831e-06; 5.35529e-06; 6.16165e-07; 3.28475e-06; 1.57424e-06
41.70; 1.98364e-05; 9.35931e-06; 2.05877e-05; 1.78609e-06; 1.63133e-05; 5.86579e-06; 3.88466e-06; 1.02333e-06; 3.02547e-06; 2.88867e-07; 2.46073e-06; 7.37358e-07
41.90; 8.25666e-06; 3.43665e-06; 1.37915e-05; 7.53697e-07; 6.65240e-06; 2.73831e-06; 1.08080e-06; 5.54388e-07; 1.94983e-06; 1.43762e-07; 8.76697e-07; 3.68404e-07
42.10; 6.31009e-06; 2.12151e-06; 8.56880e-06; 3.93144e-07; 3.53175e-06; 8.99821e-07; 6.62612e-07; 3.91428e-07; 9.37180e-07; 8.97801e-08; 4.31840e-07; 2.00107e-07
42.30; 1.76533e-06; 6.73587e-07; 3.76366e-06; 1.63784e-07; 1.24804e-06; 5.29663e-07; 2.54593e-07; 1.68807e-07; 5.39826e-07; 4.79755e-08; 2.25951e-07; 1.03107e-07
42.50; 5.62370e-07; 4.08597e-07; 1.93176e-06; 8.51688e-09; 5.09287e-07; 9.82904e-08; 9.84687e-08; 1.07201e-07; 3.37004e-07; 1.19236e-09; 1.44181e-07; 2.77574e-08
42.70; 4.45680e-07; 1.11963e-07; 7.84844e-07; 2.52244e-08; 2.24026e-07; 5.65281e-08; 8.00328e-08; 5.40107e-08; 1.30458e-07; 1.40113e-08; 5.56261e-08; 2.18633e-08
