logL;LFHa;LFO2;LFO3;LFHb;LFN2;LFS2;e_LFHa;e_LFO2;e_LFO3;e_LFHb;e_LFN2;e_LFS2
[10-7W];Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3
-----;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------
39.90; 3.28182e-03; 3.32901e-03; 2.95786e-03; 3.18997e-03; 3.45492e-03; 3.39596e-03; 1.35246e-03; 6.72214e-04; 2.07350e-04; 3.02302e-04; 3.91671e-04; 3.09140e-04
40.10; 2.94311e-03; 4.55974e-03; 2.70717e-03; 3.40615e-03; 3.82385e-03; 3.05791e-03; 5.42024e-04; 1.41285e-03; 1.88915e-04; 3.11463e-04; 4.39880e-04; 9.90684e-04
40.30; 3.07645e-03; 3.13296e-03; 2.37995e-03; 2.97271e-03; 2.26680e-03; 3.19984e-03; 2.91793e-04; 2.84925e-04; 2.51067e-04; 9.70817e-04; 9.03028e-04; 2.48928e-04
40.50; 3.41337e-03; 2.33080e-03; 1.61546e-03; 2.84648e-03; 2.85679e-03; 2.67686e-03; 3.01799e-04; 9.47598e-04; 1.21314e-04; 1.87224e-04; 1.99632e-04; 1.65353e-04
40.70; 2.76246e-03; 2.85184e-03; 1.13646e-03; 2.18108e-03; 1.99171e-03; 1.97149e-03; 1.01006e-03; 1.79916e-04; 5.44554e-05; 1.33600e-04; 1.10501e-04; 1.58595e-04
40.90; 3.16314e-03; 2.70443e-03; 7.66717e-04; 1.71860e-03; 1.67413e-03; 1.29792e-03; 2.63013e-04; 2.17971e-04; 5.49758e-05; 1.48625e-04; 1.52653e-04; 4.59764e-05
41.10; 2.43331e-03; 2.16348e-03; 5.59383e-04; 1.07353e-03; 1.01618e-03; 8.95186e-04; 1.39950e-04; 1.92245e-04; 3.26215e-05; 4.43342e-05; 4.61191e-05; 4.48256e-05
41.30; 1.84472e-03; 1.38138e-03; 3.20557e-04; 6.82518e-04; 6.32823e-04; 5.29852e-04; 1.51429e-04; 6.56214e-05; 1.25885e-05; 3.68707e-05; 3.51020e-05; 1.94927e-05
41.50; 1.18425e-03; 9.95307e-04; 2.04614e-04; 4.08329e-04; 3.72171e-04; 3.08255e-04; 4.59732e-05; 4.53360e-05; 1.02578e-05; 1.52934e-05; 1.46313e-05; 1.51384e-05
41.70; 7.88838e-04; 6.17229e-04; 1.32567e-04; 2.30138e-04; 2.17934e-04; 1.57156e-04; 4.71974e-05; 2.29129e-05; 1.81133e-05; 1.21036e-05; 1.23306e-05; 4.42604e-06
41.90; 4.77701e-04; 4.34518e-04; 6.54917e-05; 1.10769e-04; 1.06028e-04; 7.42135e-05; 1.73868e-05; 3.42846e-05; 3.81029e-06; 3.83821e-06; 4.22581e-06; 2.84558e-06
42.10; 2.65341e-04; 2.18226e-04; 3.65383e-05; 5.22511e-05; 4.68081e-05; 3.18448e-05; 9.55885e-06; 8.07245e-06; 2.25043e-06; 1.81216e-06; 1.92316e-06; 1.74406e-06
42.30; 1.46391e-04; 1.22295e-04; 2.09376e-05; 2.56201e-05; 2.23448e-05; 1.23963e-05; 1.00415e-05; 8.56018e-06; 1.65064e-06; 2.71380e-06; 1.49241e-06; 6.55328e-07
42.50; 6.32155e-05; 5.52394e-05; 1.26703e-05; 8.87962e-06; 8.69891e-06; 3.89968e-06; 2.30635e-06; 2.27784e-06; 2.46828e-06; 4.10441e-07; 4.87918e-07; 3.16639e-07
42.70; 3.11940e-05; 2.36586e-05; 6.11263e-06; 3.38747e-06; 3.25777e-06; 1.16952e-06; 2.89855e-06; 1.08364e-06; 8.86458e-07; 5.49832e-07; 3.48864e-07; 1.29144e-07
42.90; 1.18524e-05; 1.21618e-05; 2.52068e-06; 7.46564e-07; 7.66171e-07; 3.81714e-07; 6.23434e-07; 1.32772e-06; 3.87294e-07; 1.00159e-07; 9.42485e-08; 8.89874e-08
43.10; 4.34087e-06; 4.04200e-06; 1.27038e-06; 4.49027e-07; 3.61332e-07; 2.57296e-07; 4.41923e-07; 3.87618e-07; 2.60781e-07; 9.67875e-08; 8.14183e-08; 1.02325e-07
43.30; 1.48095e-06; 5.75848e-06; 3.19072e-07; 9.87007e-08; 3.42246e-07; 4.74014e-08; 2.80722e-07; 2.71677e-06; 8.36986e-08; 4.59673e-08; 1.13132e-07; 2.44069e-08
43.50; 2.16489e-07; 4.79017e-07; 1.31555e-07; 1.32999e-08; 7.44465e-09; 8.33967e-09; 6.10261e-08; 1.36981e-07; 6.64443e-08; 1.30339e-08; 7.29576e-09; 8.17287e-09
