logL;LFHa;LFO2;LFO3;LFHb;LFN2;LFS2;e_LFHa;e_LFO2;e_LFO3;e_LFHb;e_LFN2;e_LFS2
[10-7W];Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3
-----;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------
39.90; 3.89747e-03; 2.47829e-03; 2.07145e-03; 2.82106e-03; 2.74302e-03; 2.86816e-03; 9.81064e-04; 9.54918e-04; 3.11160e-04; 1.00722e-03; 1.04089e-03; 1.07496e-03
40.10; 3.34452e-03; 2.81975e-03; 1.48068e-03; 2.87359e-03; 3.35880e-03; 3.26100e-03; 5.95729e-04; 3.42180e-04; 1.92134e-04; 3.15763e-04; 4.31144e-04; 3.98156e-04
40.30; 3.44138e-03; 2.50695e-03; 1.07990e-03; 2.01163e-03; 2.45221e-03; 2.29714e-03; 4.29582e-04; 2.83492e-04; 1.37640e-04; 2.26311e-04; 3.37311e-04; 2.63434e-04
40.50; 2.86938e-03; 1.92284e-03; 8.62968e-04; 1.50463e-03; 1.81824e-03; 1.62786e-03; 9.88414e-04; 2.43760e-04; 1.16856e-04; 1.65223e-04; 2.20725e-04; 1.95188e-04
40.70; 2.92632e-03; 1.42928e-03; 4.94457e-04; 9.99032e-04; 1.29327e-03; 1.19136e-03; 3.35423e-04; 1.62480e-04; 6.21352e-05; 1.06131e-04; 1.71108e-04; 1.38405e-04
40.90; 2.04021e-03; 1.06451e-03; 4.12968e-04; 6.58837e-04; 7.83250e-04; 7.44867e-04; 2.30119e-04; 1.18943e-04; 5.39592e-05; 6.74851e-05; 9.83624e-05; 8.39354e-05
41.10; 1.46879e-03; 7.55598e-04; 2.40118e-04; 3.79197e-04; 4.88027e-04; 4.44031e-04; 1.60938e-04; 8.29011e-05; 3.30730e-05; 3.88757e-05; 6.07228e-05; 4.83957e-05
41.30; 1.00146e-03; 4.78727e-04; 1.54119e-04; 2.20581e-04; 2.73048e-04; 2.51751e-04; 1.09815e-04; 5.22387e-05; 2.22201e-05; 2.18683e-05; 3.34680e-05; 2.71108e-05
41.50; 6.41390e-04; 2.81275e-04; 1.03355e-04; 1.09084e-04; 1.41250e-04; 1.27405e-04; 7.01411e-05; 2.81351e-05; 1.49304e-05; 1.12984e-05; 1.82920e-05; 1.39852e-05
41.70; 3.58872e-04; 1.66010e-04; 6.70953e-05; 5.22708e-05; 6.54778e-05; 5.45973e-05; 3.70578e-05; 1.91488e-05; 1.15862e-05; 5.56488e-06; 9.45044e-06; 6.33839e-06
41.90; 2.09075e-04; 9.14560e-05; 3.22788e-05; 2.04572e-05; 2.56926e-05; 2.18360e-05; 2.11218e-05; 9.40221e-06; 4.55304e-06; 2.27101e-06; 3.98365e-06; 2.48739e-06
42.10; 1.03515e-04; 4.75635e-05; 2.05058e-05; 8.54951e-06; 1.06910e-05; 7.34548e-06; 1.09110e-05; 9.94460e-06; 3.17110e-06; 1.13112e-06; 1.94859e-06; 1.10610e-06
42.30; 4.56977e-05; 2.19626e-05; 1.39273e-05; 3.24067e-06; 3.41695e-06; 2.15217e-06; 4.86982e-06; 2.93847e-06; 1.77199e-06; 4.53631e-07; 8.02714e-07; 3.81278e-07
42.50; 1.86296e-05; 1.08741e-05; 6.07711e-06; 9.59623e-07; 1.00737e-06; 6.32251e-07; 2.00972e-06; 1.73774e-06; 1.13133e-06; 2.22666e-07; 3.54415e-07; 1.28101e-07
42.70; 7.36283e-06; 5.84790e-06; 2.93317e-06; 4.04793e-07; 3.62477e-07; 1.91111e-07; 1.01817e-06; 2.41650e-06; 4.23668e-07; 9.87370e-08; 1.18507e-07; 7.15527e-08
42.90; 2.42754e-06; 1.48753e-06; 1.35280e-06; 1.17576e-07; 1.21741e-07; 6.89498e-08; 3.63813e-07; 3.26722e-07; 3.18175e-07; 3.98404e-08; 6.19074e-08; 3.28707e-08
