logL;LFHa;LFO2;LFO3;LFHb;LFN2;LFS2;e_LFHa;e_LFO2;e_LFO3;e_LFHb;e_LFN2;e_LFS2
[10-7W];Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3
-----;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------
39.90; 4.24249e-03; 4.37178e-03; 3.84816e-03; 4.35308e-03; 4.45612e-03; 4.86680e-03; 1.36393e-03; 7.14871e-04; 3.94140e-04; 5.62488e-04; 4.48085e-04; 4.97587e-04
40.10; 4.08130e-03; 5.64862e-03; 3.82802e-03; 4.46831e-03; 5.07763e-03; 4.20678e-03; 6.21269e-04; 1.44585e-03; 2.67247e-04; 3.73990e-04; 6.88985e-04; 1.02646e-03
40.30; 4.01167e-03; 4.32911e-03; 3.08759e-03; 3.99612e-03; 3.50874e-03; 4.23750e-03; 5.37340e-04; 4.15488e-04; 3.20702e-04; 9.51049e-04; 9.35250e-04; 3.13655e-04
40.50; 4.73955e-03; 2.86752e-03; 2.30760e-03; 3.78617e-03; 3.88981e-03; 3.59509e-03; 4.07512e-04; 9.96749e-04; 1.48563e-04; 2.47579e-04; 2.66536e-04; 2.32051e-04
40.70; 3.82963e-03; 4.04242e-03; 1.82201e-03; 2.86541e-03; 2.89499e-03; 2.67154e-03; 9.76685e-04; 2.68620e-04; 1.07446e-04; 1.57378e-04; 1.94491e-04; 1.77819e-04
40.90; 4.01529e-03; 3.60223e-03; 1.17519e-03; 2.19753e-03; 2.40307e-03; 1.83394e-03; 2.81093e-04; 2.58527e-04; 7.31559e-05; 1.60594e-04; 1.66351e-04; 8.42472e-05
41.10; 3.26962e-03; 2.83116e-03; 8.60140e-04; 1.39395e-03; 1.51833e-03; 1.18660e-03; 2.15117e-04; 2.11858e-04; 4.20740e-05; 5.49465e-05; 6.56295e-05; 5.25406e-05
41.30; 2.38917e-03; 1.98160e-03; 5.39815e-04; 8.81879e-04; 1.01251e-03; 7.45123e-04; 1.61595e-04; 1.03329e-04; 1.98796e-05; 4.20206e-05; 6.08278e-05; 2.71865e-05
41.50; 1.55142e-03; 1.42133e-03; 3.52315e-04; 5.36923e-04; 5.85187e-04; 4.35527e-04; 6.97450e-05; 6.68105e-05; 1.78035e-05; 2.00712e-05; 2.39294e-05; 1.83274e-05
41.70; 1.02809e-03; 8.75157e-04; 2.28064e-04; 3.08112e-04; 3.59196e-04; 2.33724e-04; 5.14159e-05; 3.03226e-05; 2.03108e-05; 1.38393e-05; 1.73899e-05; 6.89066e-06
41.90; 6.19814e-04; 6.12000e-04; 1.24178e-04; 1.48131e-04; 1.93696e-04; 1.11731e-04; 2.12137e-05; 3.94827e-05; 6.52194e-06; 5.22111e-06; 6.76528e-06; 4.23148e-06
42.10; 3.53808e-04; 3.49408e-04; 7.11800e-05; 7.04840e-05; 9.42772e-05; 4.91851e-05; 1.34695e-05; 2.11104e-05; 3.63554e-06; 2.23969e-06; 3.99408e-06; 2.06169e-06
42.30; 1.95254e-04; 1.91861e-04; 4.23971e-05; 3.49348e-05; 4.44536e-05; 2.17232e-05; 1.09822e-05; 1.01287e-05; 3.03844e-06; 3.03827e-06; 2.09672e-06; 1.08226e-06
42.50; 8.47999e-05; 9.57108e-05; 2.58223e-05; 1.24661e-05; 1.96082e-05; 7.03165e-06; 2.66481e-06; 4.22082e-06; 3.12568e-06; 5.69842e-07; 8.18545e-07; 4.62489e-07
42.70; 4.19136e-05; 4.34217e-05; 1.23426e-05; 4.69862e-06; 9.16367e-06; 4.73390e-06; 3.05672e-06; 2.60040e-06; 1.05097e-06; 5.89893e-07; 7.84524e-07; 2.03545e-06
42.90; 1.75713e-05; 2.16991e-05; 5.68765e-06; 3.59086e-06; 2.88319e-06; 9.29216e-07; 1.03272e-06; 1.50329e-06; 5.38980e-07; 2.02951e-06; 3.53599e-07; 1.34420e-07
43.10; 5.99518e-06; 1.03915e-05; 3.14829e-06; 6.30264e-07; 1.41080e-06; 3.72936e-07; 4.61512e-07; 2.07811e-06; 3.95445e-07; 1.03786e-07; 1.95932e-07; 1.03648e-07
43.30; 2.43561e-06; 7.52271e-06; 7.94864e-07; 1.07108e-07; 2.72883e-06; 6.35500e-08; 3.45492e-07; 2.74337e-06; 1.48838e-07; 4.63503e-08; 2.01680e-06; 2.62407e-08
43.50; 2.43974e-06; 1.19692e-06; 3.47733e-07; 1.32999e-08; 4.76651e-08; 8.33967e-09; 2.01796e-06; 2.53497e-07; 9.37259e-08; 1.30339e-08; 2.61123e-08; 8.17287e-09
