logL;LFHa;LFO2;LFO3;LFHb;LFN2;LFS2;e_LFHa;e_LFO2;e_LFO3;e_LFHb;e_LFN2;e_LFS2
[10-7W];Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3;Mpc-3
-----;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------
39.90; 5.00319e-03; 3.81623e-03; 2.67005e-03; 3.74864e-03; 3.96441e-03; 3.87159e-03; 9.81064e-04; 9.54918e-04; 3.11160e-04; 1.00722e-03; 1.04089e-03; 1.07496e-03
40.10; 4.83536e-03; 3.73363e-03; 2.01190e-03; 3.52225e-03; 4.36883e-03; 4.20133e-03; 5.95729e-04; 3.42180e-04; 1.92134e-04; 3.15763e-04; 4.31144e-04; 3.98156e-04
40.30; 4.38420e-03; 3.02725e-03; 1.51873e-03; 2.50436e-03; 3.59537e-03; 2.93834e-03; 4.29582e-04; 2.83492e-04; 1.37640e-04; 2.26311e-04; 3.37311e-04; 2.63434e-04
40.50; 3.96100e-03; 2.44416e-03; 1.22087e-03; 1.82395e-03; 2.49440e-03; 2.16210e-03; 9.88414e-04; 2.43760e-04; 1.16856e-04; 1.65223e-04; 2.20725e-04; 1.95188e-04
40.70; 3.61671e-03; 1.81806e-03; 6.94921e-04; 1.19831e-03; 1.83278e-03; 1.53274e-03; 3.35423e-04; 1.62480e-04; 6.21352e-05; 1.06131e-04; 1.71108e-04; 1.38405e-04
40.90; 2.58089e-03; 1.31312e-03; 5.58680e-04; 7.62852e-04; 1.11526e-03; 9.57510e-04; 2.30119e-04; 1.18943e-04; 5.39592e-05; 6.74851e-05; 9.83624e-05; 8.39354e-05
41.10; 1.82736e-03; 9.24593e-04; 3.29856e-04; 4.44428e-04; 6.99877e-04; 5.69736e-04; 1.60938e-04; 8.29011e-05; 3.30730e-05; 3.88757e-05; 6.07228e-05; 4.83957e-05
41.30; 1.20935e-03; 5.61236e-04; 2.23452e-04; 2.53731e-04; 3.96635e-04; 3.20110e-04; 1.09815e-04; 5.22387e-05; 2.22201e-05; 2.18683e-05; 3.34680e-05; 2.71108e-05
41.50; 7.78580e-04; 3.23020e-04; 1.43097e-04; 1.26426e-04; 2.14775e-04; 1.63638e-04; 7.01411e-05; 2.81351e-05; 1.49304e-05; 1.12984e-05; 1.82920e-05; 1.39852e-05
41.70; 4.36861e-04; 1.88258e-04; 9.01886e-05; 5.95432e-05; 1.07905e-04; 7.35262e-05; 3.70578e-05; 1.91488e-05; 1.15862e-05; 5.56488e-06; 9.45044e-06; 6.33839e-06
41.90; 2.48960e-04; 1.01319e-04; 4.48620e-05; 2.37416e-05; 4.44646e-05; 2.85290e-05; 2.11218e-05; 9.40221e-06; 4.55304e-06; 2.27101e-06; 3.98365e-06; 2.48739e-06
42.10; 1.24590e-04; 5.22783e-05; 2.97367e-05; 1.01322e-05; 2.00743e-05; 1.00882e-05; 1.09110e-05; 9.94460e-06; 3.17110e-06; 1.13112e-06; 1.94859e-06; 1.10610e-06
42.30; 5.38896e-05; 2.37907e-05; 1.78484e-05; 3.62167e-06; 7.27952e-06; 3.31723e-06; 4.86982e-06; 2.93847e-06; 1.77199e-06; 4.53631e-07; 8.02714e-07; 3.81278e-07
42.50; 2.24543e-05; 1.18085e-05; 7.99127e-06; 1.05812e-06; 2.23098e-06; 1.00940e-06; 2.00972e-06; 1.73774e-06; 1.13133e-06; 2.22666e-07; 3.54415e-07; 1.28101e-07
42.70; 9.17229e-06; 6.15344e-06; 3.78450e-06; 4.92548e-07; 8.27392e-07; 2.86901e-07; 1.01817e-06; 2.41650e-06; 4.23668e-07; 9.87370e-08; 1.18507e-07; 7.15527e-08
42.90; 2.93761e-06; 1.63048e-06; 1.91401e-06; 1.17576e-07; 3.25654e-07; 1.12746e-07; 3.63813e-07; 3.26722e-07; 3.18175e-07; 3.98404e-08; 6.19074e-08; 3.28707e-08
43.10; 1.00349e-06; 1.21784e-06; 8.97983e-07; 1.75286e-08; 6.72931e-08; 9.12270e-09; 1.28165e-07; 7.17728e-07; 1.65148e-07; 1.36610e-08; 2.15901e-08; 8.94024e-09
